benchmark,config,avg_sim
ABV/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_0.smt2,,6.67
ABV/20230321-UltimateAutomizerSvcomp2023/dll_of_dll-2.i_39.smt2,,0.83
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_178.smt2,,0.74
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_18.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_236.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_242.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_429.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_574.smt2,,2.96
ABV/20230321-UltimateAutomizerSvcomp2023/hash_fun.i_4.smt2,,0.89
ABV/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_6.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_8.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/list-ext_1.i_11.smt2,,6.11
ABV/20230321-UltimateAutomizerSvcomp2023/list_and_tree_cnstr-1.i_26.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test13.i_18.smt2,,1.91
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test20-2.i_3.smt2,,6.67
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test7-2.i_4.smt2,,6.3
ABV/20230321-UltimateAutomizerSvcomp2023/sep10-2.i_2.smt2,,2.96
ABV/20230321-UltimateAutomizerSvcomp2023/sep20-1.i_0.smt2,,2.96
ABV/20230321-UltimateAutomizerSvcomp2023/simple_built_from_end.i_11.smt2,,4.89
ABV/20230321-UltimateAutomizerSvcomp2023/simple_built_from_end.i_8.smt2,,5.0
ABV/20230321-UltimateAutomizerSvcomp2023/simple_search_value-1.i_52.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/simple_search_value-2.i_46.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/simple_search_value-2.i_95.smt2,,0.0
ABV/20230321-UltimateAutomizerSvcomp2023/sll-rb-sentinel-2.i_51.smt2,,4.45
ABV/20230321-UltimateAutomizerSvcomp2023/sll-sorted-2.i_6.smt2,,6.11
ABV/20230321-UltimateAutomizerSvcomp2023/sll-token-2.i_26.smt2,,5.83
ABV/20230321-UltimateAutomizerSvcomp2023/sll2c_insert_equal.i_114.smt2,,4.0
ABV/20230321-UltimateAutomizerSvcomp2023/sll2c_insert_equal.i_3.smt2,,3.11
ABV/20230321-UltimateAutomizerSvcomp2023/sll2c_insert_unequal.i_119.smt2,,1.33
ABV/20230321-UltimateAutomizerSvcomp2023/sll2n_insert_equal.i_46.smt2,,3.56
ABV/20230321-UltimateAutomizerSvcomp2023/sll2n_prepend_equal.i_43.smt2,,1.33
ABV/20230321-UltimateAutomizerSvcomp2023/sll2n_prepend_equal.i_58.smt2,,3.75
ABV/20230321-UltimateAutomizerSvcomp2023/sll_to_dll_rev-2.i_105.smt2,,2.67
ABV/20230321-UltimateAutomizerSvcomp2023/sll_to_dll_rev-2.i_61.smt2,,1.85
ABV/20230321-UltimateAutomizerSvcomp2023/test-0232_1-2.i_2.smt2,,2.5
ABV/20230321-UltimateAutomizerSvcomp2023/test-0513.i_24.smt2,,4.0
ABV/20230321-UltimateAutomizerSvcomp2023/test-0513_1.i_91.smt2,,2.22
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_12.smt2,,5.78
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_130.smt2,,3.56
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_4.smt2,,5.78
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_439.smt2,,5.78
ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_444.smt2,,8.57
ABV/20230321-UltimateAutomizerSvcomp2023/test_add-2.i_9.smt2,,1.82
ABV/20230321-UltimateAutomizerSvcomp2023/test_mutex.i_6.smt2,,12.38
ABV/20230321-UltimateAutomizerSvcomp2023/test_mutex_unbounded-2.i_2.smt2,,4.07
ABV/20230321-UltimateAutomizerSvcomp2023/test_mutex_unbounded-2.i_33.smt2,,5.68
