benchmark,config,avg_sim
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InterpretLookupAdditive3.smt2,,13.35
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.InterpsEqualOfAllBuffersEqual.smt2,,13.48
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.IsPathFromRootLookupImpliesReachable.smt2,,14.27
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.NextPreservesInv.smt2,,13.67
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.NextStepPreservesInvariant.smt2,,14.02
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.PropagateInterperetation.smt2,,13.17
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.QueryStepPreservesInvariant.smt2,,13.2
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectOnlyPredOfChildIsParent.smt2,,13.76
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectPreservesAcyclic.smt2,,13.59
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectPreservesLookups.smt2,,14.03
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectResultingGraph.smt2,,14.15
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectResultingGraphAfterAllocs.smt2,,13.93
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.RedirectStepPreservesInvariant.smt2,,13.68
d_fvbkv/Betree-BetreeInv.i.dfy.Impl__BetreeInv.__default.SatisfyingLookupsForKeyAgree.smt2,,14.47
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.GetPenultimateState.smt2,,19.2
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.IsStatePath.smt2,,18.77
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeBlockInterface.__default.ReachableReference.smt2,,19.66
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.IsCycle.smt2,,16.04
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.IsPathFromTo.smt2,,15.57
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.NewPath.smt2,,15.7
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.NewlyReachableReferences.smt2,,15.63
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.ReachableReferences.smt2,,15.05
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.Successors.smt2,,15.37
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeGraph.__default.UndoLocalEdit.smt2,,15.17
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.AddMessageToBuffer.smt2,,17.2
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.AddMessageToNode.smt2,,17.17
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepOps.smt2,,17.53
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepReads.smt2,,17.53
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BetreeStepUI.smt2,,17.57
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.BufferDefinesValue.smt2,,17.26
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.FlushOps.smt2,,18.87
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.FlushReads.smt2,,17.79
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.GrowOps.smt2,,18.41
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.GrowReads.smt2,,17.43
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.InsertionOps.smt2,,17.79
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.InsertionReads.smt2,,17.43
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.InterpretLookup.smt2,,17.06
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupFollowsChildRefAtLayer.smt2,,17.33
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupFollowsChildRefs.smt2,,17.23
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupKeyValue.smt2,,17.66
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.LookupVisitsWFNodes.smt2,,17.36
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectChildAllocs.smt2,,18.29
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectChildReads.smt2,,18.34
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectOps.smt2,,17.26
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.RedirectReads.smt2,,17.26
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidBetreeStep.smt2,,19.09
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidFlush.smt2,,17.76
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidInsertion.smt2,,17.29
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidQuery.smt2,,17.82
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidRedirect.smt2,,17.94
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.ValidSuccQuery.smt2,,17.15
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.WFLookupForKey.smt2,,17.77
d_fvbkv/Betree-BetreeSpec.i.dfy.CheckWellformed__BetreeSpec.__default.WFNode.smt2,,18.41
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.AllocPreservesInv.smt2,,18.86
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.GCPreservesInv.smt2,,18.78
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.GetPenultimateState.smt2,,18.24
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.InitImpliesInv.smt2,,19.0
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.JoinTransactions.smt2,,18.19
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction1.smt2,,19.0
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction2.smt2,,19.19
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.MakeTransaction3.smt2,,19.25
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.NextPreservesInv.smt2,,18.71
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.NextStepPreservesInv.smt2,,18.88
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.OpStepPreservesInv.smt2,,19.43
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.SplitTransaction.smt2,,19.08
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction0Steps.smt2,,19.11
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction1Steps.smt2,,19.07
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction2Steps.smt2,,19.88
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.Transaction3Steps.smt2,,19.24
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.TransactionPreservesInv.smt2,,19.16
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeBlockInterface.__default.WritePreservesInv.smt2,,18.86
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.AcyclicGraphImpliesSimplePath.smt2,,15.27
d_fvbkv/Betree-BetreeSpec.i.dfy.Impl__BetreeGraph.__default.LocalEditPreservesAcyclic.smt2,,15.89
