benchmark,config,total_time,result,status
1435.3.smt2,wopass-3333,23.46,unsat,ok
1435.3.smt2,wopass-4444,14.21,unsat,ok
1435.3.smt2,wopass-5555,4.35,unsat,ok
1435.3.smt2,wopass-6666,54.57,unsat,ok
1435.3.smt2,wopass-7777,19.89,unsat,ok
1435.3.smt2,wopass-8888,19.59,unsat,ok
1435.3.smt2,wopass-9999,28.54,unsat,ok
1435.4.smt2,wopass-1010,1.25,unsat,ok
1435.4.smt2,wopass-1111,2.27,unsat,ok
1435.4.smt2,wopass-2222,1.43,unsat,ok
1435.4.smt2,wopass-3333,2.02,unsat,ok
1435.4.smt2,wopass-4444,3.77,unsat,ok
1435.4.smt2,wopass-5555,5.05,unsat,ok
1435.4.smt2,wopass-6666,1.5,unsat,ok
1435.4.smt2,wopass-7777,1.59,unsat,ok
1435.4.smt2,wopass-8888,1.73,unsat,ok
1435.4.smt2,wopass-9999,1.56,unsat,ok
1438.0.smt2,wopass-1010,0.51,unsat,ok
1438.0.smt2,wopass-1111,0.39,unsat,ok
1438.0.smt2,wopass-2222,0.34,unsat,ok
1438.0.smt2,wopass-3333,0.31,unsat,ok
1438.0.smt2,wopass-4444,0.35,unsat,ok
1438.0.smt2,wopass-5555,0.36,unsat,ok
1438.0.smt2,wopass-6666,0.28,unsat,ok
1438.0.smt2,wopass-7777,0.35,unsat,ok
1438.0.smt2,wopass-8888,0.46,unsat,ok
1438.0.smt2,wopass-9999,0.36,unsat,ok
1438.1.smt2,wopass-1010,0.26,unsat,ok
1438.1.smt2,wopass-1111,0.26,unsat,ok
1438.1.smt2,wopass-2222,0.32,unsat,ok
1438.1.smt2,wopass-3333,0.31,unsat,ok
1438.1.smt2,wopass-4444,0.3,unsat,ok
1438.1.smt2,wopass-5555,0.28,unsat,ok
1438.1.smt2,wopass-6666,0.27,unsat,ok
1438.1.smt2,wopass-7777,0.31,unsat,ok
1438.1.smt2,wopass-8888,0.3,unsat,ok
1438.1.smt2,wopass-9999,0.3,unsat,ok
1438.2.smt2,wopass-1010,0.32,unsat,ok
1438.2.smt2,wopass-1111,0.32,unsat,ok
1438.2.smt2,wopass-2222,0.39,unsat,ok
1438.2.smt2,wopass-3333,0.4,unsat,ok
1438.2.smt2,wopass-4444,0.34,unsat,ok
1438.2.smt2,wopass-5555,0.27,unsat,ok
1438.2.smt2,wopass-6666,0.32,unsat,ok
1438.2.smt2,wopass-7777,0.32,unsat,ok
1438.2.smt2,wopass-8888,0.35,unsat,ok
1438.2.smt2,wopass-9999,0.36,unsat,ok
1438.3.smt2,wopass-1010,6.02,unsat,ok
1438.3.smt2,wopass-1111,2.46,unsat,ok
1438.3.smt2,wopass-2222,3.02,unsat,ok
1438.3.smt2,wopass-3333,2.84,unsat,ok
1438.3.smt2,wopass-4444,4.58,unsat,ok
1438.3.smt2,wopass-5555,1.96,unsat,ok
1438.3.smt2,wopass-6666,3.05,unsat,ok
1438.3.smt2,wopass-7777,2.73,unsat,ok
1438.3.smt2,wopass-8888,4.27,unsat,ok
1438.3.smt2,wopass-9999,2.41,unsat,ok
1438.4.smt2,wopass-1010,2.83,unsat,ok
1438.4.smt2,wopass-1111,2.38,unsat,ok
1438.4.smt2,wopass-2222,2.25,unsat,ok
1438.4.smt2,wopass-3333,1.82,unsat,ok
1438.4.smt2,wopass-4444,2.45,unsat,ok
1438.4.smt2,wopass-5555,2.04,unsat,ok
1438.4.smt2,wopass-6666,2.68,unsat,ok
