benchmark,config,norm_time,total_time,sha256sum,result,status
common-queries-Common.AppendOptimizedList-12.smt2,wpass-8888,0.004,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-12.smt2,wpass-9999,0.003,0.02,f559b76332e89c7b992399566ad826977ee83b1fde439b31296a644e12450d07,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-1010,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-1111,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-2222,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-3333,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-4444,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-5555,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-6666,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-7777,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-8888,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-13.smt2,wpass-9999,0.004,0.02,1183c17fc91059d5bda9586e5142c8310eeedd091296fac180bcd947e081c925,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-1010,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-1111,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-2222,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-3333,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-4444,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-5555,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-6666,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-7777,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
common-queries-Common.AppendOptimizedList-14.smt2,wpass-8888,0.004,0.02,2f057f88727a9bf0977f57ca333d4f0a2accbb84aeb449829e996a814f67aa27,unsat,ok
