benchmark,config,norm_time,total_time,sha256sum,result,status
1434.1.smt2,wpass-6666,0.0,0.02,5fbc9b9a13ddc7bc19b38e7aecd71b9dee2c0765cfbf70dc7ca8a1aad36b2eee,unsat,ok
1434.1.smt2,wpass-7777,0.0,0.02,5fbc9b9a13ddc7bc19b38e7aecd71b9dee2c0765cfbf70dc7ca8a1aad36b2eee,unsat,ok
1434.1.smt2,wpass-8888,0.0,0.02,5fbc9b9a13ddc7bc19b38e7aecd71b9dee2c0765cfbf70dc7ca8a1aad36b2eee,unsat,ok
1434.1.smt2,wpass-9999,0.0,0.02,5fbc9b9a13ddc7bc19b38e7aecd71b9dee2c0765cfbf70dc7ca8a1aad36b2eee,unsat,ok
1434.2.smt2,wpass-1010,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-1111,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-2222,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-3333,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-4444,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-5555,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-6666,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-7777,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-8888,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.2.smt2,wpass-9999,0.0,0.02,bdde6aad151e8aa41fadce6f783f51a3bb3c35ecd582d30cf659a8524026e5a0,unsat,ok
1434.3.smt2,wpass-1010,0.001,1.61,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.3.smt2,wpass-1111,0.001,1.62,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
1434.3.smt2,wpass-2222,0.001,2.06,fc5c4da9ae357c84f454628c6b6f2ba2a2d199039828149216293d991d3b42f7,unsat,ok
